year_month,metric_name,metric_value,metric_unit,description
2025-01,売上高,1280,百万円,月次売上高
2025-01,営業利益率,12.3,%,営業利益÷売上高
2025-01,顧客数,4.2,千人,有料契約顧客数
2025-01,ARPU,304762,円,顧客あたり月間売上
2025-01,解約率,2.1,%,月次解約率
2025-01,NPS,38,ポイント,顧客推奨度スコア
2025-01,API稼働率,99.92,%,サービス稼働率
2025-01,インフラコスト比率,34.5,%,売上に対するインフラ費用
2025-02,売上高,1310,百万円,月次売上高
2025-02,営業利益率,12.8,%,営業利益÷売上高
2025-02,顧客数,4.3,千人,有料契約顧客数
2025-02,ARPU,304651,円,顧客あたり月間売上
2025-02,解約率,2.0,%,月次解約率
2025-02,NPS,39,ポイント,顧客推奨度スコア
2025-02,API稼働率,99.95,%,サービス稼働率
2025-03,売上高,1365,百万円,月次売上高
2025-03,営業利益率,13.1,%,営業利益÷売上高
2025-03,顧客数,4.4,千人,有料契約顧客数
2025-03,ARPU,310227,円,顧客あたり月間売上
2025-03,解約率,1.9,%,月次解約率
2025-03,NPS,40,ポイント,顧客推奨度スコア
2025-03,API稼働率,99.97,%,サービス稼働率
2025-03,サポート問合せ数,1820,件,月間問合せ件数
2025-04,売上高,1420,百万円,月次売上高
2025-04,営業利益率,13.5,%,営業利益÷売上高
2025-04,顧客数,4.5,千人,有料契約顧客数
2025-04,ARPU,315556,円,顧客あたり月間売上
2025-04,解約率,1.8,%,月次解約率
2025-04,NPS,41,ポイント,顧客推奨度スコア
2025-04,API稼働率,99.93,%,サービス稼働率
2025-04,インフラコスト比率,33.8,%,売上に対するインフラ費用
2025-05,売上高,1455,百万円,月次売上高
2025-05,営業利益率,14.0,%,営業利益÷売上高
2025-05,顧客数,4.6,千人,有料契約顧客数
2025-05,ARPU,316304,円,顧客あたり月間売上
2025-05,解約率,1.7,%,月次解約率
2025-05,NPS,42,ポイント,顧客推奨度スコア
2025-05,API稼働率,99.96,%,サービス稼働率
2025-06,売上高,1510,百万円,月次売上高
2025-06,営業利益率,14.2,%,営業利益÷売上高
2025-06,顧客数,4.8,千人,有料契約顧客数
2025-06,ARPU,314583,円,顧客あたり月間売上
2025-06,解約率,1.6,%,月次解約率
2025-06,NPS,43,ポイント,顧客推奨度スコア
2025-06,API稼働率,99.94,%,サービス稼働率
2025-06,インフラコスト比率,32.9,%,売上に対するインフラ費用
2025-07,売上高,1548,百万円,月次売上高
2025-07,営業利益率,14.5,%,営業利益÷売上高
2025-07,顧客数,4.9,千人,有料契約顧客数
2025-07,ARPU,315918,円,顧客あたり月間売上
2025-07,解約率,1.6,%,月次解約率
2025-07,NPS,44,ポイント,顧客推奨度スコア
2025-07,API稼働率,99.91,%,サービス稼働率
2025-08,売上高,1580,百万円,月次売上高
2025-08,営業利益率,14.8,%,営業利益÷売上高
2025-08,顧客数,5.0,千人,有料契約顧客数
2025-08,ARPU,316000,円,顧客あたり月間売上
2025-08,解約率,1.5,%,月次解約率
2025-08,NPS,44,ポイント,顧客推奨度スコア
2025-08,API稼働率,99.98,%,サービス稼働率
2025-08,サポート問合せ数,1950,件,月間問合せ件数
2025-09,売上高,1635,百万円,月次売上高
2025-09,営業利益率,15.1,%,営業利益÷売上高
2025-09,顧客数,5.1,千人,有料契約顧客数
2025-09,ARPU,320588,円,顧客あたり月間売上
2025-09,解約率,1.5,%,月次解約率
2025-09,NPS,45,ポイント,顧客推奨度スコア
2025-09,API稼働率,99.95,%,サービス稼働率
2025-09,インフラコスト比率,32.1,%,売上に対するインフラ費用
2025-10,売上高,1690,百万円,月次売上高
2025-10,営業利益率,15.4,%,営業利益÷売上高
2025-10,顧客数,5.2,千人,有料契約顧客数
2025-10,ARPU,325000,円,顧客あたり月間売上
2025-10,解約率,1.4,%,月次解約率
2025-10,NPS,46,ポイント,顧客推奨度スコア
2025-10,API稼働率,99.96,%,サービス稼働率
2025-11,売上高,1740,百万円,月次売上高
2025-11,営業利益率,15.7,%,営業利益÷売上高
2025-11,顧客数,5.3,千人,有料契約顧客数
2025-11,ARPU,328302,円,顧客あたり月間売上
2025-11,解約率,1.4,%,月次解約率
2025-11,NPS,47,ポイント,顧客推奨度スコア
2025-11,API稼働率,99.94,%,サービス稼働率
2025-11,サポート問合せ数,2080,件,月間問合せ件数
2025-12,売上高,1820,百万円,月次売上高
2025-12,営業利益率,16.0,%,営業利益÷売上高
2025-12,顧客数,5.5,千人,有料契約顧客数
2025-12,ARPU,330909,円,顧客あたり月間売上
2025-12,解約率,1.3,%,月次解約率
2025-12,NPS,48,ポイント,顧客推奨度スコア
2025-12,API稼働率,99.97,%,サービス稼働率
2025-12,インフラコスト比率,31.2,%,売上に対するインフラ費用
2026-01,売上高,1875,百万円,月次売上高
2026-01,営業利益率,16.3,%,営業利益÷売上高
2026-01,顧客数,5.6,千人,有料契約顧客数
2026-01,ARPU,334821,円,顧客あたり月間売上
2026-01,解約率,1.3,%,月次解約率
2026-01,NPS,49,ポイント,顧客推奨度スコア
2026-01,API稼働率,99.96,%,サービス稼働率
2026-01,インフラコスト比率,30.8,%,売上に対するインフラ費用
2026-02,売上高,1920,百万円,月次売上高
2026-02,営業利益率,16.5,%,営業利益÷売上高
2026-02,顧客数,5.7,千人,有料契約顧客数
2026-02,ARPU,336842,円,顧客あたり月間売上
2026-02,解約率,1.2,%,月次解約率
2026-02,NPS,50,ポイント,顧客推奨度スコア
2026-02,API稼働率,99.98,%,サービス稼働率
2026-03,売上高,1985,百万円,月次売上高
2026-03,営業利益率,16.8,%,営業利益÷売上高
2026-03,顧客数,5.8,千人,有料契約顧客数
2026-03,ARPU,342241,円,顧客あたり月間売上
2026-03,解約率,1.2,%,月次解約率
2026-03,NPS,51,ポイント,顧客推奨度スコア
2026-03,API稼働率,99.95,%,サービス稼働率
2026-03,サポート問合せ数,2210,件,月間問合せ件数
2026-04,売上高,2050,百万円,月次売上高
2026-04,営業利益率,17.1,%,営業利益÷売上高
2026-04,顧客数,5.9,千人,有料契約顧客数
2026-04,ARPU,347458,円,顧客あたり月間売上
2026-04,解約率,1.1,%,月次解約率
2026-04,NPS,52,ポイント,顧客推奨度スコア
2026-04,API稼働率,99.93,%,サービス稼働率
2026-04,インフラコスト比率,30.2,%,売上に対するインフラ費用
2026-05,売上高,2120,百万円,月次売上高
2026-05,営業利益率,17.4,%,営業利益÷売上高
2026-05,顧客数,6.0,千人,有料契約顧客数
2026-05,ARPU,353333,円,顧客あたり月間売上
2026-05,解約率,1.1,%,月次解約率
2026-05,NPS,53,ポイント,顧客推奨度スコア
2026-05,API稼働率,99.97,%,サービス稼働率
2026-06,売上高,2190,百万円,月次売上高
2026-06,営業利益率,17.6,%,営業利益÷売上高
2026-06,顧客数,6.1,千人,有料契約顧客数
2026-06,ARPU,358852,円,顧客あたり月間売上
2026-06,解約率,1.0,%,月次解約率
2026-06,NPS,54,ポイント,顧客推奨度スコア
2026-06,API稼働率,99.96,%,サービス稼働率
2026-06,インフラコスト比率,29.5,%,売上に対するインフラ費用
