year_month,metric_name,metric_value,metric_unit,description
2025-01,売上高,2850,百万円,月次売上高
2025-01,営業利益率,9.8,%,営業利益÷売上高
2025-01,契約回線数,48.2,千回線,有効契約回線数
2025-01,ARPU,59129,円,回線あたり月間売上
2025-01,解約率,0.85,%,月次解約率
2025-01,ネットワーク稼働率,99.982,%,コアネットワーク稼働率
2025-01,NPS,32,ポイント,顧客推奨度スコア
2025-02,売上高,2870,百万円,月次売上高
2025-02,営業利益率,9.9,%,営業利益÷売上高
2025-02,契約回線数,48.5,千回線,有効契約回線数
2025-02,ARPU,59175,円,回線あたり月間売上
2025-02,解約率,0.82,%,月次解約率
2025-02,ネットワーク稼働率,99.991,%,コアネットワーク稼働率
2025-02,障害発生件数,12,件,月間ネットワーク障害数
2025-03,売上高,2920,百万円,月次売上高
2025-03,営業利益率,10.2,%,営業利益÷売上高
2025-03,契約回線数,48.9,千回線,有効契約回線数
2025-03,ARPU,59714,円,回線あたり月間売上
2025-03,解約率,0.80,%,月次解約率
2025-03,ネットワーク稼働率,99.988,%,コアネットワーク稼働率
2025-03,NPS,33,ポイント,顧客推奨度スコア
2025-03,設備投資額,420,百万円,月間設備投資額
2025-04,売上高,2960,百万円,月次売上高
2025-04,営業利益率,10.4,%,営業利益÷売上高
2025-04,契約回線数,49.3,千回線,有効契約回線数
2025-04,ARPU,60041,円,回線あたり月間売上
2025-04,解約率,0.78,%,月次解約率
2025-04,ネットワーク稼働率,99.995,%,コアネットワーク稼働率
2025-04,障害発生件数,8,件,月間ネットワーク障害数
2025-05,売上高,3010,百万円,月次売上高
2025-05,営業利益率,10.7,%,営業利益÷売上高
2025-05,契約回線数,49.7,千回線,有効契約回線数
2025-05,ARPU,60564,円,回線あたり月間売上
2025-05,解約率,0.76,%,月次解約率
2025-05,ネットワーク稼働率,99.993,%,コアネットワーク稼働率
2025-05,NPS,34,ポイント,顧客推奨度スコア
2025-06,売上高,3050,百万円,月次売上高
2025-06,営業利益率,10.9,%,営業利益÷売上高
2025-06,契約回線数,50.1,千回線,有効契約回線数
2025-06,ARPU,60878,円,回線あたり月間売上
2025-06,解約率,0.74,%,月次解約率
2025-06,ネットワーク稼働率,99.990,%,コアネットワーク稼働率
2025-06,障害発生件数,10,件,月間ネットワーク障害数
2025-06,設備投資額,480,百万円,月間設備投資額
2025-07,売上高,3090,百万円,月次売上高
2025-07,営業利益率,11.1,%,営業利益÷売上高
2025-07,契約回線数,50.5,千回線,有効契約回線数
2025-07,ARPU,61188,円,回線あたり月間売上
2025-07,解約率,0.73,%,月次解約率
2025-07,ネットワーク稼働率,99.985,%,コアネットワーク稼働率
2025-07,NPS,35,ポイント,顧客推奨度スコア
2025-08,売上高,3130,百万円,月次売上高
2025-08,営業利益率,11.3,%,営業利益÷売上高
2025-08,契約回線数,50.9,千回線,有効契約回線数
2025-08,ARPU,61493,円,回線あたり月間売上
2025-08,解約率,0.71,%,月次解約率
2025-08,ネットワーク稼働率,99.992,%,コアネットワーク稼働率
2025-08,障害発生件数,9,件,月間ネットワーク障害数
2025-09,売上高,3180,百万円,月次売上高
2025-09,営業利益率,11.5,%,営業利益÷売上高
2025-09,契約回線数,51.4,千回線,有効契約回線数
2025-09,ARPU,61868,円,回線あたり月間売上
2025-09,解約率,0.70,%,月次解約率
