year_month,metric_name,metric_value,metric_unit,description
2025-01,売上高,3450,百万円,月次売上高
2025-01,営業利益率,18.2,%,営業利益÷売上高
2025-01,MAU,1250,千人,月間アクティブユーザー数
2025-01,ARPU,2760,円,ユーザーあたり月間売上
2025-01,課金率,4.8,%,MAU中の課金ユーザー比率
2025-01,DAU/MAU比率,42.3,%,デイリー継続率指標
2025-01,新規タイトル数,1,件,月間リリースタイトル数
2025-02,売上高,3280,百万円,月次売上高
2025-02,営業利益率,17.5,%,営業利益÷売上高
2025-02,MAU,1230,千人,月間アクティブユーザー数
2025-02,ARPU,2667,円,ユーザーあたり月間売上
2025-02,課金率,4.7,%,MAU中の課金ユーザー比率
2025-02,DAU/MAU比率,41.8,%,デイリー継続率指標
2025-02,NPS,35,ポイント,顧客推奨度スコア
2025-03,売上高,3620,百万円,月次売上高
2025-03,営業利益率,19.0,%,営業利益÷売上高
2025-03,MAU,1310,千人,月間アクティブユーザー数
2025-03,ARPU,2763,円,ユーザーあたり月間売上
2025-03,課金率,5.0,%,MAU中の課金ユーザー比率
2025-03,DAU/MAU比率,43.1,%,デイリー継続率指標
2025-03,インフラコスト比率,22.4,%,売上に対するサーバー費用
2025-03,サポート問合せ数,4250,件,月間問合せ件数
2025-04,売上高,3510,百万円,月次売上高
2025-04,営業利益率,18.6,%,営業利益÷売上高
2025-04,MAU,1290,千人,月間アクティブユーザー数
2025-04,ARPU,2721,円,ユーザーあたり月間売上
2025-04,課金率,4.9,%,MAU中の課金ユーザー比率
2025-04,DAU/MAU比率,42.5,%,デイリー継続率指標
2025-04,NPS,36,ポイント,顧客推奨度スコア
2025-05,売上高,3680,百万円,月次売上高
2025-05,営業利益率,19.3,%,営業利益÷売上高
2025-05,MAU,1340,千人,月間アクティブユーザー数
2025-05,ARPU,2746,円,ユーザーあたり月間売上
2025-05,課金率,5.1,%,MAU中の課金ユーザー比率
2025-05,DAU/MAU比率,43.7,%,デイリー継続率指標
2025-05,インフラコスト比率,21.8,%,売上に対するサーバー費用
2025-06,売上高,3850,百万円,月次売上高
2025-06,営業利益率,19.8,%,営業利益÷売上高
2025-06,MAU,1380,千人,月間アクティブユーザー数
2025-06,ARPU,2790,円,ユーザーあたり月間売上
2025-06,課金率,5.2,%,MAU中の課金ユーザー比率
2025-06,DAU/MAU比率,44.2,%,デイリー継続率指標
2025-06,NPS,37,ポイント,顧客推奨度スコア
2025-06,新規タイトル数,2,件,月間リリースタイトル数
2025-07,売上高,4120,百万円,月次売上高
2025-07,営業利益率,20.5,%,営業利益÷売上高
2025-07,MAU,1450,千人,月間アクティブユーザー数
2025-07,ARPU,2841,円,ユーザーあたり月間売上
2025-07,課金率,5.4,%,MAU中の課金ユーザー比率
2025-07,DAU/MAU比率,45.0,%,デイリー継続率指標
2025-07,インフラコスト比率,21.5,%,売上に対するサーバー費用
2025-08,売上高,4350,百万円,月次売上高
2025-08,営業利益率,21.0,%,営業利益÷売上高
2025-08,MAU,1520,千人,月間アクティブユーザー数
2025-08,ARPU,2862,円,ユーザーあたり月間売上
2025-08,課金率,5.5,%,MAU中の課金ユーザー比率
2025-08,DAU/MAU比率,46.1,%,デイリー継続率指標
2025-08,NPS,39,ポイント,顧客推奨度スコア
2025-08,サポート問合せ数,4680,件,月間問合せ件数
2025-09,売上高,4180,百万円,月次売上高
2025-09,営業利益率,20.2,%,営業利益÷売上高
2025-09,MAU,1480,千人,月間アクティブユーザー数
2025-09,ARPU,2824,円,ユーザーあたり月間売上
2025-09,課金率,5.3,%,MAU中の課金ユーザー比率
2025-09,DAU/MAU比率,44.8,%,デイリー継続率指標
2025-09,インフラコスト比率,21.0,%,売上に対するサーバー費用
2025-10,売上高,4280,百万円,月次売上高
2025-10,営業利益率,20.8,%,営業利益÷売上高
2025-10,MAU,1510,千人,月間アクティブユーザー数
2025-10,ARPU,2834,円,ユーザーあたり月間売上
2025-10,課金率,5.4,%,MAU中の課金ユーザー比率
2025-10,DAU/MAU比率,45.3,%,デイリー継続率指標
2025-10,NPS,40,ポイント,顧客推奨度スコア
2025-11,売上高,4450,百万円,月次売上高
2025-11,営業利益率,21.3,%,営業利益÷売上高
2025-11,MAU,1560,千人,月間アクティブユーザー数
2025-11,ARPU,2853,円,ユーザーあたり月間売上
2025-11,課金率,5.6,%,MAU中の課金ユーザー比率
2025-11,DAU/MAU比率,45.9,%,デイリー継続率指標
2025-11,新規タイトル数,1,件,月間リリースタイトル数
2025-12,売上高,4980,百万円,月次売上高
2025-12,営業利益率,22.5,%,営業利益÷売上高
2025-12,MAU,1680,千人,月間アクティブユーザー数
2025-12,ARPU,2964,円,ユーザーあたり月間売上
2025-12,課金率,5.9,%,MAU中の課金ユーザー比率
2025-12,DAU/MAU比率,47.2,%,デイリー継続率指標
2025-12,NPS,42,ポイント,顧客推奨度スコア
2025-12,インフラコスト比率,20.3,%,売上に対するサーバー費用
2026-01,売上高,4650,百万円,月次売上高
2026-01,営業利益率,21.8,%,営業利益÷売上高
2026-01,MAU,1620,千人,月間アクティブユーザー数
2026-01,ARPU,2870,円,ユーザーあたり月間売上
2026-01,課金率,5.7,%,MAU中の課金ユーザー比率
2026-01,DAU/MAU比率,46.5,%,デイリー継続率指標
2026-01,NPS,43,ポイント,顧客推奨度スコア
2026-02,売上高,4520,百万円,月次売上高
2026-02,営業利益率,21.2,%,営業利益÷売上高
2026-02,MAU,1590,千人,月間アクティブユーザー数
2026-02,ARPU,2843,円,ユーザーあたり月間売上
2026-02,課金率,5.6,%,MAU中の課金ユーザー比率
2026-02,DAU/MAU比率,46.0,%,デイリー継続率指標
2026-02,インフラコスト比率,19.8,%,売上に対するサーバー費用
2026-03,売上高,4780,百万円,月次売上高
2026-03,営業利益率,22.0,%,営業利益÷売上高
2026-03,MAU,1650,千人,月間アクティブユーザー数
2026-03,ARPU,2897,円,ユーザーあたり月間売上
2026-03,課金率,5.8,%,MAU中の課金ユーザー比率
2026-03,DAU/MAU比率,46.8,%,デイリー継続率指標
